iter	Passed	Remaining
0	139	139637
1	140	70110
2	141	46977
3	142	35395
4	142	28445
5	143	23795
6	144	20462
7	144	17975
8	145	16039
9	146	14497
10	147	13229
11	147	12178
12	148	11283
13	149	10508
14	149	9840
15	150	9251
16	151	8736
17	151	8284
18	152	7882
19	153	7522
20	154	7194
21	155	6892
22	155	6616
23	156	6360
24	156	6122
25	157	5905
26	158	5706
27	159	5520
28	159	5349
29	160	5190
30	161	5041
31	161	4899
32	162	4765
33	163	4634
34	163	4512
35	164	4395
36	164	4287
37	165	4184
38	165	4086
39	166	3993
40	167	3906
41	167	3824
42	168	3745
43	168	3670
44	169	3597
45	170	3527
46	170	3458
47	171	3393
48	171	3332
49	172	3274
50	172	3219
51	173	3164
52	174	3112
53	174	3062
54	175	3015
55	176	2968
56	176	2923
57	177	2880
58	177	2838
59	178	2797
60	179	2761
61	180	2726
62	181	2695
63	181	2659
64	182	2623
65	182	2588
66	183	2556
67	184	2523
68	184	2492
69	186	2472
70	186	2442
71	187	2413
72	187	2385
73	188	2357
74	189	2331
75	189	2305
76	190	2279
77	190	2255
78	191	2230
79	191	2206
80	192	2184
81	193	2162
82	193	2137
83	194	2116
84	194	2097
85	195	2077
86	196	2058
87	196	2038
88	197	2020
89	198	2002
90	198	1983
91	199	1965
92	199	1946
93	200	1929
94	200	1911
95	201	1895
96	201	1878
97	202	1861
98	202	1845
99	203	1829
100	203	1814
101	204	1799
102	204	1784
103	205	1770
104	205	1755
105	206	1741
106	207	1728
107	207	1714
108	208	1702
109	208	1690
110	209	1678
111	210	1665
112	210	1653
113	211	1641
114	211	1631
115	212	1621
116	213	1609
117	213	1598
118	214	1587
119	215	1577
120	215	1567
121	216	1556
122	216	1546
123	217	1536
124	218	1526
125	218	1516
126	219	1505
127	219	1495
128	220	1486
129	220	1477
130	221	1467
131	221	1458
132	222	1449
133	223	1441
134	223	1434
135	224	1425
136	225	1419
137	225	1410
138	226	1402
139	226	1394
140	227	1385
141	227	1376
142	228	1368
143	228	1361
144	229	1353
145	230	1346
146	230	1338
147	231	1332
148	231	1325
149	232	1318
150	233	1310
151	233	1303
152	234	1296
153	234	1289
154	235	1282
155	235	1275
156	236	1269
157	237	1263
158	237	1257
159	238	1251
160	238	1244
161	239	1239
162	240	1233
163	240	1227
164	241	1221
165	242	1215
166	242	1210
167	243	1204
168	243	1198
169	244	1192
170	245	1187
171	245	1182
172	246	1177
173	246	1171
174	247	1166
175	247	1160
176	248	1155
177	249	1150
178	249	1144
179	250	1139
180	250	1134
181	251	1129
182	252	1125
183	252	1120
184	253	1115
185	253	1111
186	254	1106
187	255	1102
188	255	1097
189	256	1093
190	257	1088
191	257	1084
192	258	1079
193	258	1075
194	259	1070
195	260	1066
196	260	1062
197	261	1058
198	261	1053
199	262	1049
200	262	1045
201	263	1040
202	264	1036
203	264	1032
204	265	1029
205	266	1026
206	267	1023
207	267	1019
208	268	1016
209	269	1013
210	269	1009
211	270	1005
212	271	1002
213	271	998
214	272	995
215	273	991
216	273	988
217	274	984
218	275	980
219	275	977
220	276	973
221	276	969
222	277	965
223	277	962
224	278	958
225	278	955
226	279	951
227	280	948
228	280	945
229	281	942
230	282	939
231	282	935
232	283	932
233	283	929
234	284	926
235	285	923
236	285	919
237	286	916
238	286	913
239	287	910
240	288	907
241	288	904
242	289	900
243	289	897
244	290	894
245	290	891
246	291	888
247	291	885
248	292	882
249	293	880
250	294	877
251	294	875
252	295	872
253	296	870
254	297	867
255	297	865
256	298	862
257	298	859
258	299	857
259	300	854
260	300	851
261	301	849
262	301	846
263	302	843
264	303	840
265	303	837
266	304	835
267	304	832
268	305	829
269	305	826
270	306	824
271	306	821
272	307	819
273	308	817
274	308	814
275	309	812
276	310	809
277	310	807
278	311	804
279	311	801
280	312	799
281	312	796
282	313	794
283	314	791
284	314	789
285	315	787
286	315	784
287	316	782
288	316	779
289	318	778
290	318	776
291	319	773
292	319	771
293	320	768
294	320	766
295	321	763
296	321	761
297	322	759
298	323	758
299	323	755
300	324	753
301	324	751
302	325	748
303	326	746
304	326	744
305	327	742
306	327	739
307	328	737
308	328	735
309	329	733
310	330	731
311	330	729
312	331	727
313	332	726
314	333	724
315	333	722
316	334	720
317	334	718
318	335	716
319	336	714
320	336	712
321	337	710
322	338	708
323	338	706
324	339	704
325	339	702
326	340	700
327	341	698
328	341	696
329	342	694
330	342	693
331	343	691
332	344	689
333	344	687
334	345	686
335	346	684
336	347	682
337	347	680
338	348	679
339	348	677
340	349	675
341	350	673
342	350	672
343	351	670
344	352	668
345	353	667
346	353	665
347	354	664
348	355	662
349	355	660
350	356	659
351	357	657
352	357	655
353	358	654
354	359	652
355	359	650
356	360	648
357	360	646
358	361	645
359	362	643
360	362	641
361	363	640
362	363	638
363	364	636
364	365	635
365	365	633
366	366	632
367	367	630
368	367	629
369	368	627
370	369	626
371	369	624
372	370	622
373	371	621
374	371	619
375	372	617
376	372	616
377	373	614
378	374	613
379	374	611
380	375	609
381	375	608
382	376	606
383	377	605
384	377	603
385	378	601
386	378	600
387	379	598
388	380	597
389	381	596
390	381	594
391	382	592
392	382	591
393	383	589
394	384	588
395	384	587
396	385	585
397	386	584
398	387	583
399	388	582
400	388	580
401	389	579
402	390	577
403	390	576
404	391	574
405	391	573
406	392	571
407	392	570
408	393	568
409	394	567
410	394	566
411	395	564
412	396	563
